date,close,high,low,open,volume
22-12-2022,238.1900024,241.9900055,233.8699951,241.2599945,28651700
23-12-2022,238.7299957,238.8699951,233.9400024,236.1100006,21207000
27-12-2022,236.9600067,238.9299927,235.8300018,238.6999969,16688600
28-12-2022,234.5299988,239.7200012,234.1699982,236.8899994,17457100
29-12-2022,241.0099945,241.9199982,235.6499939,235.6499939,19770700
30-12-2022,239.8200073,239.9600067,236.6600037,238.2100067,21938500
03-01-2023,239.5800018,245.75,237.3999939,243.0800018,25740000
04-01-2023,229.1000061,232.8699951,225.9600067,232.2799988,50623400
05-01-2023,222.3099976,227.5500031,221.7599945,227.1999969,39585600
06-01-2023,224.9299927,225.7599945,219.3500061,223,43613600
09-01-2023,227.1199951,231.2400055,226.4100037,226.4499969,27369800
10-01-2023,228.8500061,231.3099976,227.3300018,227.7599945,27033900
11-01-2023,235.7700043,235.9499969,231.1100006,231.2899933,28669300
12-01-2023,238.5099945,239.8999939,233.5599976,235.2599945,27269500
13-01-2023,239.2299957,239.3699951,234.9199982,237,21333300
17-01-2023,240.3500061,240.9100037,237.0899963,237.9700012,29831300
18-01-2023,235.8099976,242.3800049,235.5200043,241.5700073,30028700
19-01-2023,231.9299927,235.5200043,230.6799927,233.7799988,28623000
20-01-2023,240.2200012,240.7400055,234.5099945,234.8600006,35389800
23-01-2023,242.5800018,245.1699982,239.6499939,241.1000061,31934000
24-01-2023,242.0399933,243.9499969,240.4400024,242.5,40234400
25-01-2023,240.6100006,243.3000031,230.8999939,234.4799957,66526600
26-01-2023,248,248.3099976,242,243.6499939,33454500
27-01-2023,248.1600037,249.8300018,246.8300018,248.9900055,26498900
30-01-2023,242.7100067,245.6000061,242.1999969,244.5099945,25867400
31-01-2023,247.8099976,247.9499969,242.9499969,243.4499969,26541100
01-02-2023,252.75,255.1799927,245.4700012,248,31259900
02-02-2023,264.6000061,264.6900024,257.25,258.8200073,39940400
03-02-2023,258.3500061,264.2000122,257.1000061,259.5400085,29077300
06-02-2023,256.769989,258.2999878,254.7799988,257.4400024,22518000
07-02-2023,267.5599976,268.769989,260.0799866,260.5299988,50841400
08-02-2023,266.730011,276.7600098,266.2099915,273.2000122,54686000
09-02-2023,263.6199951,273.980011,262.7999878,273.7999878,42375100
10-02-2023,263.1000061,264.0899963,260.6600037,261.5299988,25818500
13-02-2023,271.3200073,274.6000061,267.1499939,267.6400146,44630900
14-02-2023,272.1700134,274.9700012,269.2799988,272.6700134,37047900
15-02-2023,269.3200073,270.730011,266.1799927,268.3200073,28922400
16-02-2023,262.1499939,266.7399902,261.8999939,264.019989,29603600
